"","condominiumIndicator","communityRatingSystemDiscount","dateOfLoss","elevatedBuildingIndicator","latitude","longitude","locationOfContents","lowestFloorElevation","numberOfFloorsInTheInsuredBuilding","occupancyType","primaryResidence","totalAmount","totalCoverage"
"786","0","1",1987-12-08,"0",37.7,-122.5,"1",0,"3","1","0",280,48400
"788","0","2",2008-01-25,"1",38.1,-122.6,"2",0,"2","2","1",1014.44,271000
"792","0","2",1998-02-24,"0",34.1,-118.5,"1",0,"2","2","0",4612.75,38000
"805","0","2",2005-12-31,"1",38.3,-122.3,"2",0,"2","2","1",1e+05,350000
"823","0","1",2014-09-08,"0",33.7,-116.3,"2",0,"2","2","1",100001,350000
"830","0","1",1994-03-10,"1",39.8,-120.5,"1",0,"3","2","0",288.09,71800
"836","0","2",1995-01-05,"0",33.8,-118.1,"2",0,"3","1","0",7500,68000
"839","0","1",1997-01-02,"0",38.5,-119.5,"3",0,"3","2","1",3186.22,121600
"841","0","1",1998-09-02,"0",33.7,-117,"2",0,"2","2","0",1317.19,62000
"851","0","1",2000-05-15,"0",37.6,-121,"2",0,"2","2","1",453.3,93000
"861","0","2",1995-03-09,"0",38.3,-122.3,"2",0,"2","3","0",8245.8,12800
"864","0","2",1997-01-11,"0",37.8,-121.3,"1",0,"3","2","0",1707.61,125000
"869","0","1",1998-01-18,"0",37.6,-122.4,"2",0,"2","3","0",1215.06,86600
"884","0","2",2003-11-08,"0",38,-121.3,"2",0,"2","3","0",3398.98,800000
"898","0","1",1998-02-02,"0",37.8,-122.2,"1",0,"3","2","1",12591.76,310000
"899","0","2",2005-12-31,"0",38,-122.6,"3",0,"1","2","1",5000,255000
"904","0","1",2017-02-20,"0",39.6,-122.2,"2",0,"2","2","1",10001.24,45700
"936","0","3",1995-01-10,"0",38.6,-121.4,"2",0,"2","2","0",11652.25,60000
"940","0","3",1995-01-10,"0",38.5,-121.4,"2",0,"2","2","0",1850,115000
"977","0","1",1997-01-01,"0",38.6,-122.8,"3",0,"3","2","0",652.44,195800
"982","0","2",1995-03-10,"0",34.4,-119.6,"2",0,"2","1","0",2534.34,210000
"1006","0","2",1978-02-07,"0",37.5,-122.2,"1",0,"3","3","0",3218.72,100000
"1008","0","1",1983-03-15,"0",37.6,-121,"3",0,"3","2","0",2700,245000
"1013","0","2",1998-02-02,"0",37,-122.1,"2",0,"2","2","0",6149.65,128100
"1020","0","3",1998-02-04,"0",38.6,-121.5,"2",0,"2","2","0",2031,127000
"1026","0","1",1983-03-02,"0",34.4,-119.5,"2",0,"2","2","0",1033,45000
"1029","0","1",1980-02-24,"0",37.4,-121,"2",0,"2","3","0",1258,36000
"1031","0","1",1980-02-24,"0",37.4,-121,"2",0,"2","3","0",650,38500
"1038","0","2",1997-01-03,"0",39.1,-121.6,"2",0,"2","2","0",20541.2,138600
"1046","0","4",1996-12-28,"0",38.6,-121.3,"2",0,"2","2","0",9391.89,180000
